Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,313.15,4.22,3.1218939573608937,0.26021470204718156
EC,0.244436077,PC,0.51382615,LiAsF6,1.627801788,333.15,12.73,12.444201527124445,0.022450783415204664
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,353.15,14.52,14.574407132276217,0.003747047677425472
EC,0.278042801,PC,0.584470441,LiAsF6,0.813900891,353.15,13.379999999999999,17.386245846993955,0.29942046689043017
EC,0.658197475,PC,0.24416277,LiAsF6,0.55248839,313.15,8.24,7.343446902159786,0.10880498760196773
EC,0.196849997,PC,0.413796021,LiAsF6,3.255603565,333.15,7.779999999999999,7.010606764894772,0.09889373201866682
EC,0.729446912,PC,0.115968526,LiAsF6,0.933624786,333.15,14.43,12.881261283913055,0.10732770035252562
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,13.207913396954913,0.04395259883625266
EMC,0.603118351,EC,0.258479293,LiPF6,1.056944079,323.15,12.665391999999999,13.293512155852754,0.049593424021361174
EMC,0.447540882,EC,0.447540882,LiPF6,0.771260875,313.15,11.912036,10.377851883583501,0.12879277030530292
EMC,0.519869239,EC,0.346579493,LiPF6,1.014187326,333.15,15.661373,14.307720897017111,0.08643253072274623
EMC,0.38045737,EC,0.38045737,LiPF6,2.067425349,323.15,12.744060999999999,12.243049226914714,0.03931335334045285
EMC,0.549591597,EC,0.235539256,LiPF6,1.800715251,313.15,10.921606,10.948829613487803,0.0024926383068389494
EMC,0.45372594,EC,0.30248396,LiPF6,2.121224998,313.15,10.523901,10.328073923340646,0.018607841014406535
EMC,0.489637216,EC,0.32642481,LiPF6,1.483068665,333.15,15.837637,14.706146044240864,0.07144316767451717
EMC,0.48018441,EC,0.32012294,LiPF6,1.64179263,333.15,15.549522,14.57628695026644,0.06258938697495398
EMC,0.529659248,EC,0.353106165,LiPF6,0.873823014,323.15,10.000458,12.730388243372117,0.2729805218293119
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.445693769350338,0.017417081351016588
EMC,0.566024967,EC,0.242582129,LiPF6,1.5574041,313.15,11.013383999999999,11.346096204195781,0.03020980692181285
EMC,0.458579941,EC,0.458579941,LiPF6,0.594304049,323.15,11.684458999999999,10.837673859177368,0.07247106098986959
EMC,0.543471237,EC,0.362314158,LiPF6,0.684393613,323.15,8.834846,11.61058239553352,0.31418050699848293
EMC,0.582280551,EC,0.249548808,LiPF6,1.33023682,323.15,12.910134,13.469478835401079,0.043326028637741425
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,333.15,16.161748,14.702528477803561,0.0902884714076991
EMC,0.472386078,EC,0.314924052,LiPF6,1.777517954,313.15,10.206533,10.991637630304364,0.07692177454424179
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,12.813098533515204,0.016573159542302412
